здесь	zʲ dʲ e sʲ
аверка	ɐ vʲ e r k ə
аверка	ɐ vʲ ɪ r k ə
аверкой	ɐ vʲ e r k ə j
авиатору	ɐ vʲ ɪ a t̪ ə r ʊ
ависагойсунамитянкой	a vʲ ɪ s̪ ɐ ɡ o j s̪ ʊ n̪ a mʲ ɪ tʲ a n̪ k ə j
ависагойсунамитянкой	ɐ vʲ ɪ s̪ ɐ ɡ o j s̪ u n̪ ə mʲ ɪ tʲ a n̪ k ə j
ависагойсунамитянкой	ɐ vʲ ɪ s̪ ɐ ɡ o j s̪ ʊ n̪ a mʲ ɪ tʲ a n̪ k ə j
ависагойсунамитянкой	ɐ vʲ ɪ s̪ ɐ ɡ o j s̪ ʊ n̪ ə mʲ ɪ tʲ a n̪ k ə j
авось	ɐ v o sʲ
авимелех	ɐ vʲ ɪ mʲ e ʎ ɪ x
австрийцы	ɐ f s̪ t̪ rʲ i j t̪s̪ ɨ
австралию	ɐ f s̪ t̪ r ɐ ʎ i j ʊ
австрии	ɐ f s̪ t̪ rʲ i ɪ
австрии	ɐ f s̪ t̪ rʲ ɪ ɪ
авто	a f t̪ ə
авто	ɐ f t̪ o
авто	ɐ f t̪ ə
автографами	ɐ f t̪ o ɡ r ə f ə mʲ ɪ
автомобиле	ɐ f t̪ ə m ɐ bʲ i ʎ e
австровенгрии	ɐ f s̪ t̪ r o vʲ ɪ n̪ ɟ rʲ ɪ ɪ
австровенгрии	ɐ f s̪ t̪ r ɐ vʲ e n̪ ɟ rʲ ɪ ɪ
австровенгрии	ɐ f s̪ t̪ r ə vʲ e n̪ ɟ rʲ i ɪ
австровенгрии	ɐ f s̪ t̪ r ə vʲ e n̪ ɟ rʲ ɪ ɪ
австровенгрии	ɐ f s̪ t̪ r ə vʲ ɪ n̪ ɟ rʲ i ɪ
австровенгрии	ɐ f s̪ t̪ r ə vʲ ɪ n̪ ɟ rʲ ɪ ɪ
автомобилей	ɐ f t̪ ə m ɐ bʲ i ʎ ɪ j
автомобили	ɐ f t̪ ə m ɐ bʲ i ʎ ɪ
автоматы	ɐ f t̪ ɐ m a t̪ ɨ
автомобилем	ɐ f t̪ ə m ɐ bʲ i ʎ ɪ m
автомобиль	ɐ f t̪ ə m ɐ bʲ i ʎ
автомобильного	ɐ f t̪ ə m ɐ bʲ i ʎ n̪ ə v ə
автомобильными	ɐ f t̪ ə m ɐ bʲ i ʎ n̪ ɨ mʲ ɪ
автор	a f t̪ ə r
автомобиля	ɐ f t̪ ə m ɐ bʲ i ʎ ə
авторам	a f t̪ ə r ə m
авторитет	ɐ f t̪ ə rʲ ɪ tʲ e t̪
авторитета	ɐ f t̪ ə rʲ ɪ tʲ e t̪ ə
авторитетным	ɐ f t̪ ə rʲ ɪ tʲ e t̪ n̪ ɨ m
авторитеты	ɐ f t̪ ə rʲ ɪ tʲ e t̪ ɨ
автофургон	a f t̪ ə f ʊ r ɡ o n̪
автофургон	ɐ f t̪ o f ʊ r ɡ o n̪
автофургон	ɐ f t̪ ɐ f ʊ r ɡ o n̪
автофургон	ɐ f t̪ ə f ʊ r ɡ o n̪
агаповну	ɐ ɡ a p ə v n̪ ʊ
агаповну	ɐ ɡ ɐ p o v n̪ ʊ
агаповну	ɐ ɡ ɐ p ə v n̪ ʊ
автором	a f t̪ ə r ə m
агат	ɐ ɡ a t̪
агафье	ɐ ɡ a fʲ j e
агафьей	ɐ ɡ a fʲ j
агафьей	ɐ ɡ a fʲ j e j
агафьей	ɐ ɡ a fʲ j ɪ j
агафьи	ɐ ɡ a fʲ j i
агафью	ɐ ɡ a fʲ j u
агафью	ɐ ɡ a fʲ j ʊ
агафья	ɐ ɡ a fʲ j ə
агента	ɐ ɟ e n̪ t̪ ə
агентам	ɐ ɟ e n̪ t̪ ə m
агенты	ɐ ɟ e n̪ t̪ ɨ
агентства	ɐ ɟ e n̪ t̪ s̪ t̪ v ə
агитаторы	ɐ ɟ ɪ t̪ a t̪ ə r ɨ
агитационную	ɐ ɟ ɪ t̪ ə t̪s̪ ɨ o n̪ː ʊ j ʊ
агитационной	ɐ ɟ ɪ t̪ a t̪s̪ ɨ o n̪ː ə j
агитационной	ɐ ɟ ɪ t̪ ə t̪s̪ ɨ o n̪ː ə j
агитационных	ɐ ɟ ɪ t̪ ə t̪s̪ ɨ o n̪ː ɨ x
агитационный	ɐ ɟ ɪ t̪ ə t̪s̪ ɨ o n̪ː ɨ j
агитацию	ɐ ɟ ɪ t̪ a t̪s̪ ɨ j ʊ
агитбригаде	ɐ ɟ i t̪ b rʲ ɪ ɡ a dʲ e
агитбригаде	ɐ ɟ ɪ t̪ b rʲ ɪ ɡ a dʲ e
агитбригадой	ɐ ɟ i t̪ b rʲ ɪ ɡ a d̪ ə j
агитбригадой	ɐ ɟ ɪ t̪ b rʲ ɪ ɡ a d̪ ə j
агитировать	ɐ ɟ ɪ tʲ i r ə v ə tʲ
агитпоезда	ɐ ɟ ɪ t̪ p o j ɪ z̪ d̪ ə
агитпоезда	ɐ ɟ ɪ t̪ p ə j ɪ z̪ d̪ a
аглицкие	a ɟ ʎ ɪ t̪s̪ c ɪ j e
аглицкие	ɐ ɟ ʎ i t̪s̪ c ɪ j e
аглицкие	ɐ ɟ ʎ t̪s̪ c ɪ j e
аглицкие	ɐ ɟ ʎ ɪ t̪s̪ c ɪ j e
агитпоезд	ɐ ɟ ɪ t̪ p o j ɪ s̪ t̪
агитпоезд	ɐ ɟ ɪ t̪ p ɐ j e s̪ t̪
агонию	ɐ ɡ o ɲ ɪ j ʊ
аграфами	a ɡ r ə f ə mʲ ɪ
аграфами	ɐ ɡ r a f ə mʲ ɪ
агроном	ɐ ɡ r ɐ n̪ o m
агура	ɐ ɡ u r ə
ада	a d̪ ə
агрономии	ɐ ɡ r ɐ n̪ o mʲ ɪ ɪ
ад	a t̪
адамас	ɐ d̪ ɐ m a s̪
адам	ɐ d̪ a m
адама	ɐ d̪ a m ə
адамова	ɐ d̪ a m ə v ə
адамовой	ɐ d̪ a m ɐ v o j
адамовой	ɐ d̪ a m ə v ə j
адамовича	ɐ d̪ a m ə vʲ ɪ tɕ a
адамович	ɐ d̪ a m ə vʲ ɪ tɕ
адамом	ɐ d̪ a m ə m
адвокатом	ɐ d̪ v ɐ k a t̪ ə m
адвокат	ɐ d̪ v ɐ k a t̪
администратора	ɐ d̪ mʲ ɪ ɲ ɪ s̪ t̪ r a t̪ ə r ə
администратор	ɐ d̪ mʲ ɪ ɲ ɪ s̪ t̪ r a t̪ ə r
администрацией	ɐ d̪ mʲ ɪ ɲ ɪ s̪ t̪ r a t̪s̪ ɨ j ɪ j
адмирал	ɐ d̪ mʲ ɪ r a ɫ
адмирала	ɐ d̪ mʲ ɪ r a ɫ ə
адонии	ɐ d̪ o ɲ ɪ ɪ
адмиральских	ɐ d̪ mʲ ɪ r a ʎ s̪ c ɪ x
адонираму	a d̪ ə ɲ ɪ r a m ʊ
адонираму	ɐ d̪ o ɲ ɪ r a m ʊ
адресату	ɐ d̪ rʲ ɪ s̪ a t̪ ʊ
адрес	a d̪ rʲ ɪ s̪
адрес	ɐ d̪ rʲ ɪ s̪
адонию	ɐ d̪ o ɲ ɪ j ʊ
адская	a t̪ s̪ k ə j ə
адская	ɐ t̪ s̪ k ə j ə
ажена	ɐ ʐ ɛ n̪ ə
ажена	ɐ ʐ ɨ n̪ a
адюльтера	ɐ dʲ ʉ ʎ t̪ ɛ r ə
ажурными	ɐ ʐ u r n̪ ɨ mʲ ɪ
аз	a s̪
азария	ɐ z̪ a rʲ ɪ j ə
азарии	ɐ z̪ a rʲ ɪ ɪ
азарт	ɐ z̪ a r t̪
азарта	ɐ z̪ a r t̪ ə
азартной	ɐ z̪ a r t̪ n̪ o j
азартной	ɐ z̪ a r t̪ n̪ ə j
азартнее	ɐ z̪ a r tʲ ɲ ɪ j e
азартом	ɐ z̪ a r t̪ ə m
азбуку	a z̪ b ʊ k u
азбуку	a z̪ b ʊ k ʊ
азбуки	a z̪ b ʊ c i
азбуки	a z̪ b ʊ c ɪ
азиатам	ɐ zʲ ɪ a t̪ ə m
азиатских	ɐ zʲ ɪ a t̪ s̪ c ɪ x
азиатский	ɐ zʲ ɪ a t̪ s̪ c ɪ j
азию	a zʲ ɪ j ʊ
азиатской	ɐ zʲ ɪ a t̪ s̪ k o j
азии	a zʲ ɪ ɪ
азии	ɐ zʲ i ɪ
азия	a zʲ ɪ j ə
ай	a j
ай	ɐ j
азры	ɐ z̪ r ɨ
азы	ɐ z̪ ɨ
айя	a jː ə
ак	a k
академии	ɐ k ɐ dʲ e mʲ i ɪ
академии	ɐ k ɐ dʲ e mʲ ɪ ɪ
академического	ɐ k ə dʲ ɪ mʲ i tɕ ɪ s̪ k ə v ə
академиков	ɐ k ɐ dʲ e mʲ ɪ k ə f
академия	ɐ k ɐ dʲ e mʲ ɪ j ə
академик	ɐ k ɐ dʲ e mʲ ɪ k
акации	ɐ k a t̪s̪ ɨ ɪ
акафисты	ɐ k ɐ fʲ i s̪ t̪ ɨ
акацию	ɐ k a t̪s̪ ɨ j ʊ
аквариума	ɐ k v a rʲ ɪ ʊ m ə
аквариум	ɐ k v a rʲ ɪ ʊ m
аки	a c ɪ
аки	ɐ c i
аккомпанемент	ɐ kː ə m p ə ɲ ɪ mʲ e n̪ t̪
аккомпанировать	ɐ kː ə m p ɐ ɲ i r ə v ə tʲ
аккомпанировал	ɐ kː ə m p ɐ ɲ i r ə v ə ɫ
аккомпанементом	ɐ kː ə m p ə ɲ ɪ mʲ e n̪ t̪ ə m
аккорды	ɐ kː o r d̪ ɨ
аккордом	ɐ kː o r d̪ ə m
аккорда	ɐ kː o r d̪ ə
аккуратнее	ɐ kː ʊ r a t̪ n̪ ɛ j e
аккуратнее	ɐ kː ʊ r a t̪ n̪ ɨ j e
аккуратно	ɐ kː ʊ r a t̪ n̪ ə
аккуратней	ɐ kː ʊ r a t̪ n̪ ɛ j
аккуратней	ɐ kː ʊ r a t̪ n̪ ɨ j
аккуратней	ɐ kː ʊ r ɐ tʲ ɲ e j
аккуратней	ɐ kː ʊ r ɐ tʲ ɲ ɪ j
аккуратную	ɐ kː ʊ r a t̪ n̪ ʊ j ʊ
акробата	ɐ k r ɐ b a t̪ ə
акры	a k r ɨ
аксельбантами	ɐ c sʲ ɪ ʎ b a n̪ t̪ ə mʲ ɪ
аксиомой	ɐ c sʲ ɪ o m ə j
аксинье	ɐ c sʲ i ɲ j e
акт	a k t̪
акта	a k t̪ ə
актер	a c tʲ ɪ r
актером	a c tʲ ɪ r ə m
актера	a c tʲ ɪ r ə
актерство	a c tʲ ɪ r s̪ t̪ v ə
актерство	ɐ c tʲ e r s̪ t̪ v ə
актеры	a c tʲ ɪ r ɨ
активистов	ɐ c tʲ ɪ vʲ i s̪ t̪ ə f
актеру	a c tʲ ɪ r ʊ
актовый	a k t̪ ə v ɨ j
активной	ɐ c tʲ i v n̪ ə j
акулина	ɐ k u ʎ ɪ n̪ ə
акулинато	ɐ k u ʎ ɪ n̪ a t̪ ə
актриса	ɐ k t̪ rʲ i s̪ ə
акулиной	ɐ k u ʎ ɪ n̪ ə j
акулине	ɐ k ʊ ʎ i ɲ e
акулину	ɐ k u ʎ ɪ n̪ ʊ
акурат	a k ʊ r a t̪
акурат	ɐ k ʊ r a t̪
акулины	ɐ k u ʎ ɪ n̪ ɨ
акцент	ɐ k t̪s̪ ɛ n̪ t̪
акции	a k t̪s̪ ɨ ɪ
акции	ɐ k t̪s̪ ɨ ɪ
акцентом	ɐ k t̪s̪ ɛ n̪ t̪ ə m
акциито	a k t̪s̪ ɨ t̪ ə
акциито	a k t̪s̪ ɨ ɪ t̪ o
акциито	a k t̪s̪ ɨ ɪ t̪ ə
акциито	ɐ k t̪s̪ ɨ t̪ ə
акциито	ɐ k t̪s̪ ɨ ɪ t̪ ə
акций	a k t̪s̪ ɨ j
акций	ɐ k t̪s̪ ɨ j
акциями	a k t̪s̪ ɨ j ə mʲ ɪ
алая	ɐ ɫ a j ə
алгеброй	a ɫ ɟ ɪ b r ə j
алгебра	a ɫ ɟ ɪ b r ə
акциях	a k t̪s̪ ɨ j ə x
алгебру	a ɫ ɟ ɪ b r ʊ
алебарды	ɐ ʎ ɪ b a r d̪ ɨ
александроневской	ɐ ʎ ɪ k s̪ a n̪ d̪ r ə ɲ ɪ f s̪ k ə j
александр	ɐ ʎ ɪ k s̪ a n̪ d̪ r
александровского	ɐ ʎ ɪ k s̪ a n̪ d̪ r ə f s̪ k ə v ə
александрович	ɐ ʎ ɪ k s̪ a n̪ d̪ r ə vʲ ɪ tɕ
александром	ɐ ʎ ɪ k s̪ a n̪ d̪ r ə m
александровском	ɐ ʎ ɪ k s̪ a n̪ d̪ r o f s̪ k ə m
александровском	ɐ ʎ ɪ k s̪ a n̪ d̪ r ə f s̪ k ə m
александру	ɐ ʎ ɪ k s̪ a n̪ d̪ r ʊ
алексее	ɐ ʎ ɪ c sʲ e j e
алексеева	ɐ ʎ ɪ c sʲ e j e v ə
алексеев	ɐ ʎ ɪ c sʲ e j ɪ f
алексеевичем	ɐ ʎ ɪ c sʲ e j e vʲ ɪ tɕ ɪ m
алексеевской	ɐ ʎ ɪ c sʲ e j ɪ f s̪ k ə j
алексеевым	ɐ ʎ ɪ c sʲ e j ɪ v ɨ m
алексееву	ɐ ʎ ɪ c sʲ e j e v ʊ
алексеич	ɐ ʎ ɪ c sʲ e j i tɕ
алексеевыми	ɐ ʎ ɪ c sʲ e j e v ɨ mʲ ɪ
алексеевыми	ɐ ʎ ɪ c sʲ e j ɪ v ɨ mʲ ɪ
алексей	ɐ ʎ ɪ c sʲ e j
алел	ɐ ʎ ɪ ɫ
алексея	ɐ ʎ ɪ c sʲ e j ə
алело	ɐ ʎ ɪ ɫ ə
алеши	ɐ ʎ ɪ ʂ ɨ
алкал	ɐ ɫ k a ɫ
алели	ɐ ʎ e ʎ ɪ
алели	ɐ ʎ ɪ ʎ ɪ
али	a ʎ ɪ
али	ɐ ʎ i
алкоголь	ɐ ɫ k ɐ ɡ o ʎ
алкоголя	ɐ ɫ k ɐ ɡ o ʎ ə
аллеи	ɐ ʎː e ɪ
аллегорию	ɐ ʎː ɪ ɡ o rʲ ɪ j ʊ
аллее	ɐ ʎː e j e
аллею	ɐ ʎː e j ʊ
аллес	ɐ ʎː e s̪
аллея	ɐ ʎː e j ə
аллеям	ɐ ʎː e j ə m
алмаз	ɐ ɫ m a s̪
алмазу	ɐ ɫ m a z̪ ʊ
алого	a ɫ ə v ə
алого	ɐ ɫ ə v ə
аллигу	ɐ ʎː ɪ ɡ ʊ
алой	a ɫ ə j
алой	ɐ ɫ o j
алою	a ɫ ə j ʊ
алою	ɐ ɫ o j ʊ
алоэ	ɐ ɫ o ɛ
алтарь	ɐ ɫ t̪ a rʲ
алтарю	ɐ ɫ t̪ ɐ rʲ u
алтаря	ɐ ɫ t̪ ɐ rʲ a
алтаре	ɐ ɫ t̪ a rʲ e
алтаре	ɐ ɫ t̪ ɐ rʲ e
алупкой	ɐ ɫ u p k ə j
алчность	a ɫ tɕ n̪ ə sʲ tʲ
алчущим	a ɫ tɕ ʉ ɕː ɪ m
алы	a ɫ ɨ
алый	a ɫ ɨ j
аль	a ʎ
аль	ɐ ʎ
альбертыч	ɐ ʎ bʲ e r t̪ ɨ tɕ
альбомами	ɐ ʎ b o m ə mʲ ɪ
альбом	ɐ ʎ b o m
алю	a ʎ ʊ
алю	ɐ ʎ u
альянов	ɐ ʎ j a n̪ ə f
альтернатива	ɐ ʎ t̪ ɨ r n̪ ɐ tʲ i v ə
аля	a ʎ ə
аля	ɐ ʎ a
амбара	ɐ m b a r ə
амбарзаки	ɐ m b a r z̪ a c ɪ
амбарзаки	ɐ m b a r z̪ ɐ c i
амбарзаки	ɐ m b ɐ r z̪ a c ɪ
амбаров	ɐ m b a r ə f
амбаром	ɐ m b a r ə m
амброй	a m b r ə j
амбары	ɐ m b a r ɨ
амбру	a m b r ʊ
амвон	ɐ m v o n̪
американским	ɐ mʲ ɪ rʲ ɪ k a n̪ s̪ c ɪ m
американский	ɐ mʲ ɪ rʲ ɪ k a n̪ s̪ c ɪ j
американского	ɐ mʲ ɪ rʲ ɪ k a n̪ s̪ k ə v ə
американской	ɐ mʲ ɪ rʲ ɪ k a n̪ s̪ k o j
американцем	ɐ mʲ ɪ rʲ ɪ k a n̪ t̪s̪ ɨ m
американскую	ɐ mʲ ɪ rʲ ɪ k a n̪ s̪ k ʊ j ʊ
американцы	ɐ mʲ ɪ rʲ ɪ k a n̪ t̪s̪ ɨ
америки	ɐ mʲ ɪ rʲ ɪ c ɪ
америке	ɐ mʲ ɪ rʲ ɪ c e
америку	ɐ mʲ ɪ rʲ ɪ k u
америку	ɐ mʲ ɪ rʲ ɪ k ʊ
аметист	ɐ mʲ ɪ tʲ i s̪ t̪
аметисты	ɐ mʲ ɪ tʲ i s̪ t̪ ɨ
аминодавовой	ɐ mʲ ɪ n̪ ɐ d̪ a v ə v ə j
аминь	ɐ mʲ i ɲ
аммоном	ɐ mː o n̪ ə m
амиподавова	ɐ mʲ ɪ p ɐ d̪ a v ə v ə
амиподавова	ɐ mʲ ɪ p ə d̪ ɐ v o v ə
аммонитянок	ɐ mː o ɲ ɪ tʲ a n̪ ə k
аморе	ɐ m o rʲ e
аморе	ɐ m ə rʲ e
ампутировал	ɐ m p ʊ tʲ i r ə v ə ɫ
аммореянок	ɐ mː o rʲ ɪ j a n̪ ə k
аммореянок	ɐ mː ə rʲ ɪ j a n̪ ə k
амулет	ɐ m ʊ ʎ e t̪
амуницией	ɐ m ʊ ɲ i t̪s̪ ɨ j ɪ j
амуниции	ɐ m ʊ ɲ i t̪s̪ ɨ ɪ
амуров	ɐ m u r ə f
амура	ɐ m u r ə
амуром	ɐ m u r ə m
ан	a n̪
анализ	ɐ n̪ a ʎ ɪ s̪
аназе	ɐ n̪ a zʲ e
аназе	ɐ n̪ ɐ zʲ e
амфорами	a m f ə r ə mʲ ɪ
анализу	ɐ n̪ a ʎ ɪ z̪ ʊ
анализирующей	ɐ n̪ ə ʎ ɪ zʲ i r ʊ j ʉ ɕː ɪ j
ананас	ɐ n̪ ɐ n̪ a s̪
анализировал	ɐ n̪ ə ʎ ɪ zʲ i r ə v ə ɫ
аналоем	ɐ n̪ ɐ ɫ o j ɪ m
ананасов	ɐ n̪ ɐ n̪ a s̪ ə f
ананасы	ɐ n̪ ɐ n̪ a s̪ ɨ
анапе	ɐ n̪ a pʲ e
анапе	ɐ n̪ ɐ pʲ e
анархистов	ɐ n̪ ɐ r ç i s̪ t̪ ə f
анархию	ɐ n̪ a r ç ɪ j ʊ
анатолийский	ɐ n̪ ə t̪ ɐ ʎ i j s̪ c ɪ j
анатомии	ɐ n̪ ə t̪ ɐ mʲ i ɪ
анатомические	ɐ n̪ ə t̪ ɐ mʲ i tɕ ɪ s̪ c ɪ j e
анатомички	ɐ n̪ ə t̪ ɐ mʲ i tɕ c ɪ
анатомическими	ɐ n̪ ə t̪ ɐ mʲ i tɕ ɪ s̪ c ɪ mʲ ɪ
анатомическом	ɐ n̪ ə t̪ ɐ mʲ i tɕ ɪ s̪ k ə m
ангелтелохранитель	a n̪ ɟ ɪ ɫ tʲ ɪ ɫ ə x r ɐ ɲ i tʲ ɪ ʎ
ангелтелохранитель	a n̪ ɟ ɪ ʎ e j ɪ tʲ ɪ ɫ ə x r ɐ ɲ i tʲ ɪ ʎ
ангелтелохранитель	a n̪ ɟ ɪ ʎ e ɪ tʲ ɪ ɫ ə x r ɐ ɲ i tʲ ɪ ʎ
ангелтелохранитель	ɐ n̪ ɟ ɪ ɫ tʲ ɪ ɫ ə x r ɐ ɲ i tʲ ɪ ʎ
ангел	a n̪ ɟ ɪ ɫ
ангел	ɐ n̪ ɟ ɪ ɫ
анафема	ɐ n̪ a fʲ ɪ m ə
ангелам	a n̪ ɟ ɪ ɫ ə m
ангелом	a n̪ ɟ ɪ ɫ ə m
ангелу	a n̪ ɟ ɪ ɫ ʊ
ангелу	ɐ n̪ ɟ ɪ ɫ ʊ
ангелов	a n̪ ɟ ɪ ɫ ə f
ангелы	a n̪ ɟ ɪ ɫ ɨ
английские	ɐ n̪ ɟ ʎ i j s̪ c ɪ j e
англии	a n̪ ɟ ʎ i ɪ
англии	a n̪ ɟ ʎ ɪ ɪ
английская	ɐ n̪ ɟ ʎ i j s̪ k ə j ə
английский	ɐ n̪ ɟ ʎ i j s̪ c ɪ j
английскими	ɐ n̪ ɟ ʎ i j s̪ c ɪ mʲ ɪ
английских	ɐ n̪ ɟ ʎ i j s̪ c ɪ x
английским	ɐ n̪ ɟ ʎ i j s̪ c ɪ m
английского	ɐ n̪ ɟ ʎ i j s̪ k ə v ə
английское	ɐ n̪ ɟ ʎ i j s̪ k ə j ə
английской	ɐ n̪ ɟ ʎ i j s̪ k ə j
английскому	ɐ n̪ ɟ ʎ i j s̪ k ə m ʊ
английскую	ɐ n̪ ɟ ʎ i j s̪ k ʊ j ʊ
английском	ɐ n̪ ɟ ʎ i j s̪ k ə m
англичан	ɐ n̪ ɟ ʎ ɪ tɕ a n̪
англичанам	ɐ n̪ ɟ ʎ ɪ tɕ a n̪ ə m
англичане	ɐ n̪ ɟ ʎ ɪ tɕ æ ɲ e
англичанах	ɐ n̪ ɟ ʎ ɪ tɕ a n̪ ə x
англичанина	ɐ n̪ ɟ ʎ ɪ tɕ æ ɲ ɪ n̪ ə
англичанином	ɐ n̪ ɟ ʎ ɪ tɕ æ ɲ ɪ n̪ ə m
англичанин	ɐ n̪ ɟ ʎ ɪ tɕ æ ɲ ɪ n̪
англию	ɐ n̪ ɟ ʎ ɪ j ʊ
англичанки	ɐ n̪ ɟ ʎ ɪ tɕ a n̪ c ɪ
англия	a n̪ ɟ ʎ ɪ j ə
англия	ɐ n̪ ɟ ʎ ɪ j ə
андреев	ɐ n̪ d̪ rʲ e j ɪ f
андреевичем	ɐ n̪ d̪ rʲ e j e vʲ ɪ tɕ ɪ m
андреевич	ɐ n̪ d̪ rʲ e j e vʲ ɪ tɕ
андреевич	ɐ n̪ d̪ rʲ e j ɪ vʲ i tɕ
андреевна	ɐ n̪ d̪ rʲ e j ɪ v n̪ a
андреем	ɐ n̪ d̪ rʲ e j ɪ m
андреевым	ɐ n̪ d̪ rʲ e j ɪ v ɨ m
андреич	ɐ n̪ d̪ rʲ e j i tɕ
андреичем	ɐ n̪ d̪ rʲ e j i tɕ ɪ m
андреича	ɐ n̪ d̪ rʲ e ɪ tɕ a
андрей	ɐ n̪ d̪ rʲ e j
андреичу	ɐ n̪ d̪ rʲ e ɪ tɕ u
андрейка	ɐ n̪ d̪ rʲ e j k ə
андрейке	ɐ n̪ d̪ rʲ e j c e
андрея	ɐ n̪ d̪ rʲ e j ə
андруцаки	ɐ n̪ d̪ r u t̪s̪ a c ɪ
андрею	ɐ n̪ d̪ rʲ e j ʊ
андрюшей	ɐ n̪ d̪ rʲ u ʂ ɨ j
андрюша	ɐ n̪ d̪ rʲ u ʂ ə
андрюше	ɐ n̪ d̪ rʲ u ʂ ɨ
андрюшке	ɐ n̪ d̪ rʲ u ʂ c e
андрюшку	ɐ n̪ d̪ rʲ u ʂ k ʊ
андрюши	ɐ n̪ d̪ rʲ u ʂ ɨ
андрюши	ɐ n̪ d̪ rʲ ʊ ʂ ɨ
анекдотами	ɐ ɲ ɪ ɡ d̪ o t̪ ə mʲ ɪ
андрюшу	ɐ n̪ d̪ rʲ u ʂ ʊ
анекдотической	ɐ ɲ ɪ ɡ d̪ o tʲ i tɕ ɪ s̪ k ə j
анекдотов	ɐ ɲ ɪ ɡ d̪ o t̪ ə f
анисье	ɐ ɲ i sʲ j e
анисьи	ɐ ɲ i sʲ j i
анисьей	ɐ ɲ i sʲ j ɪ j
анекдоты	ɐ ɲ ɪ ɡ d̪ o t̪ ɨ
анисья	ɐ ɲ i sʲ j ə
анисью	ɐ ɲ i sʲ j ʊ
анисью	ɐ ɲ ɪ sʲ j ʊ
анкет	ɐ n̪ c e t̪
аничков	ɐ ɲ ɪ tɕ k o f
аничков	ɐ ɲ ɪ tɕ k ə f
анкету	ɐ n̪ c e t̪ ʊ
анна	ɐ n̪ː a
анна	ɐ n̪ː ə
анкеты	ɐ n̪ c e t̪ ɨ
аннексий	ɐ n̪ː ɛ c sʲ ɪ j
аннексий	ɐ ɲː e c sʲ ɪ j
анну	ɐ n̪ː ʊ
аннулирования	ɐ n̪ː ʊ ʎ i r ə v ə ɲ ɪ j ə
аннулирует	ɐ n̪ː ʊ ʎ i r ʊ j ɪ t̪
аннулированной	ɐ n̪ː ʊ ʎ i r ə v ə n̪ː ə j
анны	a n̪ː ɨ
анны	ɐ n̪ː ɨ
анри	ɐ n̪ rʲ ɪ
антенна	ɐ n̪ t̪ ɛ n̪ ə
аноним	ɐ n̪ ɐ ɲ i m
антибольшевистской	a ɲ tʲ ɪ b o ʎ ʂ ɨ vʲ i s̪ t̪ s̪ k ə j
антибольшевистской	ɐ ɲ tʲ ɪ b o ʎ ʂ ɨ vʲ i s̪ t̪ s̪ k ə j
антибольшевистском	a ɲ tʲ ɪ b o ʎ ʂ ɨ vʲ i s̪ t̪ s̪ k ə m
